fname,lname,phone,checkin,checkout,chekout,roomid,roomstatus,roomtype,roomprice,roombed
Coop,Polglase,923 740 8481,05/24/2023,12/05/2023,false,94,true,2XL,$6.72,94
Roxy,Whithalgh,731 607 7443,10/05/2023,12/05/2023,false,95,false,S,$1.58,95
De,Strickler,989 818 4137,08/18/2023,12/05/2023,true,96,false,2XL,$7.34,96
Horst,Ainge,775 581 4233,09/09/2023,12/05/2023,false,97,true,XL,$2.22,97
Darcee,Hardan,503 703 8335,02/11/2023,12/05/2023,true,98,true,S,$3.57,98
Alameda,Regi,308 366 7710,10/16/2023,12/05/2023,false,99,true,M,$8.89,99
Em,Collicott,949 262 5071,10/29/2023,12/05/2023,true,100,false,2XL,$8.11,100
Lorelle,Renvoys,132 133 9335,09/25/2023,12/05/2023,true,101,true,2XL,$2.55,101
Greg,Pettinger,837 516 7140,09/02/2023,12/05/2023,true,102,true,3XL,$6.11,102
Rhodia,Breddy,449 327 4507,10/29/2023,12/05/2023,false,103,false,2XL,$0.81,103
Renee,Heeps,907 398 2940,02/20/2023,12/05/2023,false,104,false,XL,$2.43,104
Pryce,Nelles,796 836 0912,03/27/2023,12/05/2023,true,105,true,XL,$8.73,105
Jolene,Dinnies,452 229 8390,12/15/2022,12/05/2023,false,106,false,3XL,$2.17,106
Quint,Bohike,988 209 4416,01/13/2023,12/05/2023,false,107,false,XL,$9.84,107
Sarita,Pancost,777 593 4956,12/30/2022,12/05/2023,false,108,true,3XL,$5.70,108
Killian,Jantzen,689 606 7925,06/11/2023,12/05/2023,true,109,false,M,$7.57,109
Melinde,Corpe,814 778 7758,10/25/2023,12/05/2023,false,110,false,XS,$9.38,110
Brendan,Breslane,490 279 9711,10/23/2023,12/05/2023,true,111,false,M,$4.46,111
Melonie,Kingscote,518 265 2749,09/04/2023,12/05/2023,true,112,false,S,$3.37,112
Tamara,Symson,727 885 7701,02/10/2023,12/05/2023,true,113,false,L,$5.93,113
Talia,Ainsby,899 609 8357,06/14/2023,12/05/2023,true,114,false,M,$9.33,114
Raeann,Kinforth,420 726 5835,05/24/2023,12/05/2023,true,115,true,S,$6.15,115
Elton,Fillon,719 190 6281,12/22/2022,12/05/2023,true,116,true,2XL,$2.53,116
Lynnea,Clemitt,547 603 1892,10/18/2023,12/05/2023,false,117,true,S,$9.10,117
Obadias,Lissandrini,149 430 1757,10/06/2023,12/05/2023,true,118,false,M,$9.49,118
Gerhardine,Meaton,222 608 1109,06/07/2023,12/05/2023,false,119,false,XL,$1.79,119
Shermy,Sallinger,921 644 5662,05/02/2023,12/05/2023,true,120,true,S,$5.87,120
Julian,Kaygill,272 686 3033,08/13/2023,12/05/2023,true,121,false,XS,$1.54,121
Gay,McNellis,576 636 7429,02/20/2023,12/05/2023,true,122,true,S,$2.63,122
Mariette,Grolle,223 178 2544,03/28/2023,12/05/2023,false,123,false,S,$6.25,123
Clari,Vlasenkov,797 341 2684,12/18/2022,12/05/2023,false,124,true,XL,$2.27,124
Sebastian,Rechert,726 286 1400,06/09/2023,12/05/2023,true,125,false,2XL,$0.41,125
Gary,Shuter,685 893 8725,02/09/2023,12/05/2023,false,126,false,XL,$9.59,126
Millard,Whatling,606 820 6615,06/13/2023,12/05/2023,false,127,true,XS,$5.92,127
Audrie,Barneveld,901 890 2163,01/29/2023,12/05/2023,false,128,true,XS,$9.21,128
Filmer,Godsmark,202 432 6174,01/22/2023,12/05/2023,true,129,false,XS,$2.92,129
Noreen,Leighton,138 145 9332,01/18/2023,12/05/2023,true,130,true,XS,$8.58,130
Hedda,Ainsby,778 485 2775,09/08/2023,12/05/2023,true,131,true,M,$2.48,131
Georgette,Hillock,277 632 6335,07/06/2023,12/05/2023,true,132,true,3XL,$2.74,132
Juline,Dirkin,405 383 0451,10/16/2023,12/05/2023,true,133,false,XS,$8.03,133
Erina,Fones,538 443 0793,12/22/2022,12/05/2023,true,134,true,3XL,$3.70,134
Stacia,Chantree,404 566 1575,08/28/2023,12/05/2023,true,135,true,2XL,$6.49,135
Maryanna,Ottam,222 855 7477,09/16/2023,12/05/2023,true,136,false,L,$8.80,136
Correy,Shapera,526 651 3757,07/31/2023,12/05/2023,false,137,true,M,$7.64,137
Appolonia,Goldthorp,634 140 1350,01/04/2023,12/05/2023,false,138,false,M,$9.03,138
Montgomery,Kochl,765 672 5580,05/22/2023,12/05/2023,true,139,false,2XL,$4.34,139
Maisey,Rudgley,722 753 5492,10/04/2023,12/05/2023,false,140,false,S,$2.16,140
Bogey,Cockshott,162 437 1596,02/20/2023,12/05/2023,true,141,true,XL,$0.04,141
Caesar,Geke,487 453 0109,02/21/2023,12/05/2023,false,142,true,L,$9.96,142
Andree,Mosedill,280 228 5113,07/08/2023,12/05/2023,true,143,true,M,$0.56,143
Rennie,Wardrope,770 365 9456,12/06/2022,12/05/2023,false,144,true,M,$8.44,144
Meyer,Elsdon,397 801 3571,06/13/2023,12/05/2023,true,145,true,S,$3.67,145
Javier,Begbie,574 526 5759,01/23/2023,12/05/2023,true,146,true,2XL,$1.34,146
Kerrin,Filipovic,420 634 6777,08/22/2023,12/05/2023,false,147,true,L,$4.96,147
Leigh,Halfpenny,695 233 7882,06/18/2023,12/05/2023,true,148,false,XL,$4.23,148
Dirk,Feifer,413 107 5054,06/16/2023,12/05/2023,true,149,false,S,$4.63,149
Lilli,Ravilus,234 560 7052,05/12/2023,12/05/2023,true,150,true,S,$3.03,150
Sibylla,Pylkynyton,645 778 8016,05/21/2023,12/05/2023,false,151,false,M,$0.24,151
Stinky,Spain,394 433 4175,12/14/2022,12/05/2023,false,152,false,2XL,$1.91,152
Calley,Kezar,848 698 2770,04/08/2023,12/05/2023,false,153,true,XL,$9.02,153
Theodora,Donizeau,450 144 7847,07/20/2023,12/05/2023,false,154,true,XL,$8.21,154
Nevsa,Bidmead,809 223 7927,02/14/2023,12/05/2023,false,155,false,M,$2.11,155
Tamas,Karpychev,268 866 9409,11/02/2023,12/05/2023,false,156,false,S,$6.89,156
Clementius,Asker,871 453 7736,07/18/2023,12/05/2023,false,157,false,L,$2.16,157
Shelia,Denes,779 792 6494,04/28/2023,12/05/2023,true,158,true,M,$1.15,158
Rose,Moles,710 262 1530,10/30/2023,12/05/2023,false,159,true,2XL,$3.48,159
Burch,Blencowe,609 279 2099,08/09/2023,12/05/2023,false,160,false,L,$2.08,160
Jilleen,Diegan,481 857 1039,04/21/2023,12/05/2023,false,161,true,M,$7.02,161
Erl,Crellim,628 904 5778,12/25/2022,12/05/2023,false,162,true,XS,$8.07,162
Sara-ann,Theuff,596 236 1642,08/22/2023,12/05/2023,true,163,false,XL,$4.99,163
Brigitta,Ridger,485 718 9216,04/15/2023,12/05/2023,false,164,false,2XL,$2.10,164
Lucinda,Gounod,965 917 4769,11/24/2023,12/05/2023,false,165,false,S,$8.67,165
Diandra,Hutson,425 672 2413,06/17/2023,12/05/2023,true,166,true,XL,$5.25,166
Reba,Pail,222 455 8436,11/27/2023,12/05/2023,false,167,true,XL,$6.60,167
Hodge,Pechacek,336 731 0296,04/20/2023,12/05/2023,true,168,true,M,$1.80,168
Alethea,Camacho,700 136 6350,08/07/2023,12/05/2023,true,169,false,2XL,$6.07,169
Elston,Sproul,876 256 0041,03/28/2023,12/05/2023,true,170,true,M,$5.51,170
Alphonso,Sedgebeer,517 556 9821,03/28/2023,12/05/2023,true,171,true,S,$7.71,171
Harlene,Walthew,724 694 7012,02/05/2023,12/05/2023,false,172,true,2XL,$8.56,172
Miranda,Fairebrother,241 527 6627,06/13/2023,12/05/2023,false,173,false,2XL,$7.89,173
Mickey,Scolts,904 843 1642,05/24/2023,12/05/2023,true,174,false,2XL,$3.03,174
Amalia,Antill,109 198 5699,11/24/2023,12/05/2023,false,175,false,L,$0.11,175
Aubry,Gricewood,642 230 4365,08/25/2023,12/05/2023,true,176,true,XS,$2.36,176
Zsa zsa,Bellow,681 739 3183,04/02/2023,12/05/2023,false,177,true,L,$3.97,177
Donni,Hurst,489 368 9783,11/18/2023,12/05/2023,true,178,false,2XL,$8.41,178
Ambrosi,Micheli,715 835 7542,03/27/2023,12/05/2023,true,179,false,3XL,$9.62,179
Archambault,McSkeagan,952 394 5484,05/08/2023,12/05/2023,true,180,false,3XL,$9.79,180
Yanaton,Kyttor,699 358 3894,08/24/2023,12/05/2023,true,181,true,S,$3.93,181
Jeanie,Morffew,764 937 5733,03/31/2023,12/05/2023,false,182,false,S,$0.99,182
Alexandrina,Fiddler,361 742 8183,06/02/2023,12/05/2023,false,183,false,2XL,$8.38,183
Nadeen,Kermit,165 826 6019,04/17/2023,12/05/2023,true,184,false,S,$3.83,184
Bev,Youings,205 915 7583,01/05/2023,12/05/2023,true,185,false,2XL,$3.93,185
Lambert,Kasperski,471 902 6339,07/29/2023,12/05/2023,false,186,false,M,$2.66,186
Theda,Lalley,939 493 3850,04/24/2023,12/05/2023,true,187,false,3XL,$0.15,187
Flo,Jevons,738 940 5787,01/02/2023,12/05/2023,false,188,false,S,$4.10,188
Reg,Custed,686 912 5646,06/01/2023,12/05/2023,true,189,false,L,$2.75,189
Art,Wabersinke,441 873 7424,09/13/2023,12/05/2023,true,190,false,XS,$4.46,190
Rayner,Stutely,836 249 0441,06/10/2023,12/05/2023,true,191,true,2XL,$0.25,191
Weider,Gladbach,894 337 7600,05/31/2023,12/05/2023,false,192,false,S,$4.50,192
Glen,Burbudge,252 162 8279,04/14/2023,12/05/2023,true,193,true,2XL,$2.80,193
Parsifal,Romayn,831 721 5651,06/17/2023,12/05/2023,true,194,true,L,$7.48,194
Karol,St Pierre,189 269 5511,01/23/2023,12/05/2023,true,195,false,2XL,$8.33,195
Mic,Hartzenberg,248 972 0841,12/18/2022,12/05/2023,true,196,false,2XL,$4.89,196
Adham,Bartke,760 131 6946,05/05/2023,12/05/2023,false,197,false,M,$6.60,197
Coraline,Magee,353 916 6686,07/22/2023,12/05/2023,false,198,true,S,$5.09,198
Elly,Weston,893 689 8676,05/30/2023,12/05/2023,false,199,false,XL,$7.80,199
Addy,Brimblecomb,746 436 0561,06/03/2023,12/05/2023,true,200,true,2XL,$6.74,200
Erma,Vercruysse,429 318 7978,06/07/2023,12/05/2023,false,201,false,2XL,$6.88,201
Rockie,Napper,464 196 7149,04/22/2023,12/05/2023,false,202,true,M,$0.58,202
Tate,Mattinson,176 550 8466,11/21/2023,12/05/2023,true,203,true,XL,$3.52,203
Jeanelle,Quilliam,819 106 8223,10/28/2023,12/05/2023,true,204,false,L,$4.25,204
Lynne,Twiddell,264 211 5135,05/26/2023,12/05/2023,true,205,false,2XL,$5.15,205
Dennis,Lewerenz,991 659 0284,12/17/2022,12/05/2023,true,206,true,3XL,$8.91,206
Dru,Downse,833 681 0409,06/22/2023,12/05/2023,true,207,false,2XL,$7.69,207
Darrelle,Lambdin,287 373 8390,12/12/2022,12/05/2023,false,208,false,L,$7.00,208
Kin,Merritt,362 740 5116,10/12/2023,12/05/2023,true,209,true,2XL,$3.96,209
Nico,Osbiston,616 554 8460,06/21/2023,12/05/2023,false,210,true,XS,$2.59,210
Fee,Stollhofer,121 818 0459,02/17/2023,12/05/2023,true,211,true,L,$8.88,211
Sascha,South,574 807 9518,11/03/2023,12/05/2023,false,212,true,XL,$6.74,212
Gianni,Lawie,694 505 7894,09/25/2023,12/05/2023,false,213,false,2XL,$8.89,213
Ginnifer,Ascraft,103 836 6096,11/08/2023,12/05/2023,true,214,true,XL,$3.47,214
Merry,Wilkes,747 429 4046,01/29/2023,12/05/2023,true,215,true,M,$9.80,215
Basia,Ovell,315 981 9459,10/07/2023,12/05/2023,false,216,true,S,$8.25,216
Gennie,Stanex,208 533 8648,08/12/2023,12/05/2023,false,217,false,M,$9.61,217
Clem,Verna,286 919 6427,01/04/2023,12/05/2023,true,218,false,L,$6.61,218
Nappy,Hubber,146 687 8312,03/02/2023,12/05/2023,true,219,false,2XL,$1.15,219
Leta,Dorrins,322 679 5470,08/25/2023,12/05/2023,true,220,false,XS,$6.86,220
Isadore,Diemer,472 119 5684,04/06/2023,12/05/2023,true,221,false,XL,$6.77,221
Gallagher,Hunnywell,369 942 2497,08/13/2023,12/05/2023,true,222,true,M,$9.70,222
Ynes,Farlane,303 542 3032,07/14/2023,12/05/2023,false,223,false,2XL,$2.48,223
Stephi,Rawcliff,560 274 6604,07/12/2023,12/05/2023,true,224,false,S,$3.03,224
Marta,Blanko,340 255 4740,02/03/2023,12/05/2023,true,225,true,3XL,$8.90,225
Paddie,O'Sherin,812 500 8942,08/06/2023,12/05/2023,false,226,false,XL,$7.62,226
Tristan,Morby,946 243 1976,11/02/2023,12/05/2023,true,227,false,2XL,$2.61,227
Marketa,Christophers,975 331 4325,11/14/2023,12/05/2023,true,228,true,M,$7.68,228
Chane,Querree,344 503 0532,02/17/2023,12/05/2023,false,229,false,2XL,$5.67,229
Donia,Worsom,510 603 8393,06/13/2023,12/05/2023,true,230,true,XL,$4.44,230
Eleonora,Clemente,882 155 7462,12/21/2022,12/05/2023,false,231,true,XS,$8.51,231
Magnum,Sunman,429 505 9426,10/22/2023,12/05/2023,false,232,true,2XL,$6.28,232
Kippy,Ablett,752 616 1964,11/29/2023,12/05/2023,true,233,false,3XL,$3.31,233
Charlot,Eneas,459 647 7943,03/05/2023,12/05/2023,true,234,false,L,$3.26,234
Boyce,Keam,813 647 3622,08/31/2023,12/05/2023,true,235,true,M,$2.88,235
Ashleigh,Baily,554 626 2654,03/21/2023,12/05/2023,true,236,true,M,$6.98,236
Magnum,Pickavance,710 461 5744,05/14/2023,12/05/2023,false,237,false,L,$4.86,237
Chance,MacGuiness,837 470 7403,05/26/2023,12/05/2023,true,238,true,XL,$4.58,238
Gustavo,Freear,765 979 1657,01/04/2023,12/05/2023,false,239,true,XS,$7.42,239
Mervin,Anderer,569 838 4512,01/02/2023,12/05/2023,false,240,true,XS,$2.66,240
Bev,Larkby,208 854 4956,01/08/2023,12/05/2023,false,241,false,XS,$7.48,241
Hilliard,Gilfillan,688 764 8078,05/23/2023,12/05/2023,true,242,true,XS,$9.01,242
Denys,Connett,404 553 7105,08/02/2023,12/05/2023,false,243,true,XL,$9.52,243
Jandy,Schusterl,982 207 8686,07/08/2023,12/05/2023,false,244,false,XS,$2.58,244
Cammie,Hall-Gough,102 943 7966,08/20/2023,12/05/2023,false,245,false,2XL,$4.61,245
Silvain,Cosgrive,681 351 8958,02/16/2023,12/05/2023,false,246,false,XS,$6.56,246
Portia,Colebrook,533 383 2322,09/25/2023,12/05/2023,false,247,false,3XL,$7.24,247
Pauli,Monahan,587 835 7774,09/17/2023,12/05/2023,false,248,true,XS,$8.42,248
Brunhilda,Dowdle,478 934 3060,01/04/2023,12/05/2023,false,249,false,M,$8.56,249
Isabel,Petters,927 994 6074,10/15/2023,12/05/2023,true,250,false,2XL,$4.32,250
Edythe,Hurdidge,687 269 4878,12/27/2022,12/05/2023,true,251,true,XL,$3.06,251
Aaren,Jillins,550 428 7371,03/17/2023,12/05/2023,true,252,true,L,$5.83,252
Garwin,D'orsay,331 749 8555,05/30/2023,12/05/2023,false,253,true,2XL,$6.57,253
Selle,Messer,680 928 5848,10/15/2023,12/05/2023,false,254,false,3XL,$9.39,254
Melisandra,Syddie,693 786 9794,08/02/2023,12/05/2023,true,255,false,M,$4.29,255
Marthena,Bagshaw,548 363 7825,10/07/2023,12/05/2023,false,256,true,XL,$8.84,256
Shaine,Cloney,488 809 6684,04/15/2023,12/05/2023,true,257,true,M,$8.09,257
Chase,Ferronet,186 572 0043,04/14/2023,12/05/2023,true,258,false,L,$9.45,258
Durward,Labbett,697 640 4906,09/07/2023,12/05/2023,true,259,false,2XL,$8.56,259
Gwenora,Klima,744 248 7654,04/12/2023,12/05/2023,true,260,false,2XL,$3.28,260
Siusan,Ollett,631 219 6027,02/04/2023,12/05/2023,false,261,false,XS,$0.85,261
Branden,Pachta,120 843 2902,06/20/2023,12/05/2023,true,262,true,3XL,$6.87,262
Emma,Allum,662 284 5992,02/10/2023,12/05/2023,false,263,true,M,$2.12,263
Kelcie,Labbett,389 580 5467,10/10/2023,12/05/2023,false,264,false,S,$5.16,264
Denys,Doohan,567 455 2376,03/24/2023,12/05/2023,true,265,true,3XL,$2.24,265
Ashla,Hasell,474 354 5172,04/07/2023,12/05/2023,false,266,true,L,$6.96,266
Ignacio,McGrill,850 602 7074,03/26/2023,12/05/2023,true,267,true,XS,$1.93,267
Merilee,Bottomore,115 675 1816,06/09/2023,12/05/2023,true,268,false,L,$0.38,268
Ogden,Russo,209 815 8596,10/15/2023,12/05/2023,true,269,false,L,$8.10,269
Shawn,Byrne,739 749 5008,04/01/2023,12/05/2023,false,270,false,M,$8.11,270
Fidelity,Follitt,771 251 0296,12/24/2022,12/05/2023,false,271,false,M,$5.24,271
Preston,Gouda,721 694 5988,07/17/2023,12/05/2023,false,272,false,XS,$0.26,272
Terza,De Maine,186 135 7914,01/26/2023,12/05/2023,true,273,true,S,$9.78,273
Toma,Hounsham,575 404 9873,06/02/2023,12/05/2023,false,274,false,3XL,$7.31,274
Callie,Moody,237 671 7301,05/07/2023,12/05/2023,true,275,false,XL,$4.92,275
Jenica,Linster,745 686 8444,01/05/2023,12/05/2023,false,276,false,2XL,$0.62,276
Janeen,Fishbourne,415 672 1860,03/06/2023,12/05/2023,true,277,false,XL,$7.83,277
Emmalynn,Belison,227 626 8750,05/28/2023,12/05/2023,false,278,false,3XL,$5.25,278
Frederica,Bourges,873 611 3960,11/15/2023,12/05/2023,true,279,true,L,$2.88,279
Margaret,Lideard,354 390 3389,01/13/2023,12/05/2023,false,280,false,3XL,$1.72,280
Jorey,Doggart,381 744 3181,12/15/2022,12/05/2023,true,281,false,XL,$6.10,281
Lemmy,Konzelmann,926 901 2994,10/23/2023,12/05/2023,false,282,false,XL,$8.54,282
Rosemary,Chorley,668 245 5009,12/16/2022,12/05/2023,false,283,false,XL,$3.51,283
Millard,Swait,629 674 7114,09/29/2023,12/05/2023,true,284,false,XL,$0.40,284
Arlie,Towhey,843 522 0998,10/22/2023,12/05/2023,true,285,true,S,$0.73,285
Lennard,Smalecombe,734 124 7905,01/18/2023,12/05/2023,false,286,true,L,$2.04,286
Thomasa,Burlingham,186 809 6084,11/25/2023,12/05/2023,false,287,false,M,$9.48,287
Cyrillus,Rodenburg,459 176 7184,11/18/2023,12/05/2023,true,288,false,3XL,$5.01,288
Marcelline,Lamplough,981 104 9902,11/20/2023,12/05/2023,true,289,false,S,$8.56,289
Natividad,Fosten,792 449 8136,09/03/2023,12/05/2023,true,290,false,XS,$1.38,290
Quintus,Wrixon,587 271 5841,04/24/2023,12/05/2023,true,291,true,M,$6.29,291
Dannie,Dwine,892 325 4785,01/01/2023,12/05/2023,true,292,false,3XL,$1.45,292
Gallard,MacKibbon,409 814 8536,10/23/2023,12/05/2023,false,293,false,XS,$3.06,293
Tucky,Deniset,706 130 7743,06/07/2023,12/05/2023,false,294,false,L,$7.58,294
